abbr_state,county,fips
"al","autauga",1001
"al","baldwin",1003
"al","barbour",1005
"al","bibb",1007
"al","blount",1009
"al","bullock",1011
"al","butler",1013
"al","calhoun",1015
"al","chambers",1017
"al","cherokee",1019
"al","chilton",1021
"al","choctaw",1023
"al","clarke",1025
"al","clay",1027
"al","cleburne",1029
"al","coffee",1031
"al","colbert",1033
"al","conecuh",1035
"al","coosa",1037
"al","covington",1039
"al","crenshaw",1041
"al","cullman",1043
"al","dale",1045
"al","dallas",1047
"al","dekalb",1049
"al","elmore",1051
"al","escambia",1053
"al","etowah",1055
"al","fayette",1057
"al","franklin",1059
"al","geneva",1061
"al","greene",1063
"al","hale",1065
"al","henry",1067
"al","houston",1069
"al","jackson",1071
"al","jefferson",1073
"al","lamar",1075
"al","lauderdale",1077
"al","lawrence",1079
"al","lee",1081
"al","limestone",1083
"al","lowndes",1085
"al","macon",1087
"al","madison",1089
"al","marengo",1091
"al","marion",1093
"al","marshall",1095
"al","mobile",1097
"al","monroe",1099
"al","montgomery",1101
"al","morgan",1103
"al","perry",1105
"al","pickens",1107
"al","pike",1109
"al","randolph",1111
"al","russell",1113
"al","st. clair",1115
"al","shelby",1117
"al","sumter",1119
"al","talladega",1121
"al","tallapoosa",1123
"al","tuscaloosa",1125
"al","walker",1127
"al","washington",1129
"al","wilcox",1131
"al","winston",1133
"ak","aleutians east borough",2013
"ak","aleutians west census area",2016
"ak","anchorage municipality",2020
"ak","bethel census area",2050
"ak","bristol bay borough",2060
"ak","denali borough",2068
"ak","dillingham census area",2070
"ak","fairbanks north star borough",2090
"ak","haines borough",2100
"ak","hoonah-angoon census area",2105
"ak","juneau city and borough",2110
"ak","kenai peninsula borough",2122
"ak","ketchikan gateway borough",2130
"ak","kodiak island borough",2150
"ak","lake and peninsula borough",2164
"ak","matanuska-susitna borough",2170
"ak","nome census area",2180
"ak","north slope borough",2185
"ak","northwest arctic borough",2188
"ak","petersburg census area",2195
"ak","prince of wales-hyder census area",2198
"ak","sitka city and borough",2220
"ak","skagway municipality",2230
"ak","southeast fairbanks census area",2240
"ak","valdez-cordova census area",2261
"ak","wade hampton census area",2270
"ak","wrangell city and borough",2275
"ak","yakutat city and borough",2282
"ak","yukon-koyukuk census area",2290
"az","apache",4001
"az","cochise",4003
"az","coconino",4005
"az","gila",4007
"az","graham",4009
"az","greenlee",4011
"az","la paz",4012
"az","maricopa",4013
"az","mohave",4015
"az","navajo",4017
"az","pima",4019
"az","pinal",4021
"az","santa cruz",4023
"az","yavapai",4025
"az","yuma",4027
"ar","arkansas",5001
"ar","ashley",5003
"ar","baxter",5005
"ar","benton",5007
"ar","boone",5009
"ar","bradley",5011
"ar","calhoun",5013
"ar","carroll",5015
"ar","chicot",5017
"ar","clark",5019
"ar","clay",5021
"ar","cleburne",5023
"ar","cleveland",5025
"ar","columbia",5027
"ar","conway",5029
"ar","craighead",5031
"ar","crawford",5033
"ar","crittenden",5035
"ar","cross",5037
"ar","dallas",5039
"ar","desha",5041
"ar","drew",5043
"ar","faulkner",5045
"ar","franklin",5047
"ar","fulton",5049
"ar","garland",5051
"ar","grant",5053
"ar","greene",5055
"ar","hempstead",5057
"ar","hot spring",5059
"ar","howard",5061
"ar","independence",5063
"ar","izard",5065
"ar","jackson",5067
"ar","jefferson",5069
"ar","johnson",5071
"ar","lafayette",5073
"ar","lawrence",5075
"ar","lee",5077
"ar","lincoln",5079
"ar","little river",5081
"ar","logan",5083
"ar","lonoke",5085
"ar","madison",5087
"ar","marion",5089
"ar","miller",5091
"ar","mississippi",5093
"ar","monroe",5095
"ar","montgomery",5097
"ar","nevada",5099
"ar","newton",5101
"ar","ouachita",5103
"ar","perry",5105
"ar","phillips",5107
"ar","pike",5109
"ar","poinsett",5111
"ar","polk",5113
"ar","pope",5115
"ar","prairie",5117
"ar","pulaski",5119
"ar","randolph",5121
"ar","st. francis",5123
"ar","saline",5125
"ar","scott",5127
"ar","searcy",5129
"ar","sebastian",5131
"ar","sevier",5133
"ar","sharp",5135
"ar","stone",5137
"ar","union",5139
"ar","van buren",5141
"ar","washington",5143
"ar","white",5145
"ar","woodruff",5147
"ar","yell",5149
"ca","alameda",6001
"ca","alpine",6003
"ca","amador",6005
"ca","butte",6007
"ca","calaveras",6009
"ca","colusa",6011
"ca","contra costa",6013
"ca","del norte",6015
"ca","el dorado",6017
"ca","fresno",6019
"ca","glenn",6021
"ca","humboldt",6023
"ca","imperial",6025
"ca","inyo",6027
"ca","kern",6029
"ca","kings",6031
"ca","lake",6033
"ca","lassen",6035
"ca","los angeles",6037
"ca","madera",6039
"ca","marin",6041
"ca","mariposa",6043
"ca","mendocino",6045
"ca","merced",6047
"ca","modoc",6049
"ca","mono",6051
"ca","monterey",6053
"ca","napa",6055
"ca","nevada",6057
"ca","orange",6059
"ca","placer",6061
"ca","plumas",6063
"ca","riverside",6065
"ca","sacramento",6067
"ca","san benito",6069
"ca","san bernardino",6071
"ca","san diego",6073
"ca","san francisco",6075
"ca","san joaquin",6077
"ca","san luis obispo",6079
"ca","san mateo",6081
"ca","santa barbara",6083
"ca","santa clara",6085
"ca","santa cruz",6087
"ca","shasta",6089
"ca","sierra",6091
"ca","siskiyou",6093
"ca","solano",6095
"ca","sonoma",6097
"ca","stanislaus",6099
"ca","sutter",6101
"ca","tehama",6103
"ca","trinity",6105
"ca","tulare",6107
"ca","tuolumne",6109
"ca","ventura",6111
"ca","yolo",6113
"ca","yuba",6115
"co","adams",8001
"co","alamosa",8003
"co","arapahoe",8005
"co","archuleta",8007
"co","baca",8009
"co","bent",8011
"co","boulder",8013
"co","broomfield",8014
"co","chaffee",8015
"co","cheyenne",8017
"co","clear creek",8019
"co","conejos",8021
"co","costilla",8023
"co","crowley",8025
"co","custer",8027
"co","delta",8029
"co","denver",8031
"co","dolores",8033
"co","douglas",8035
"co","eagle",8037
"co","elbert",8039
"co","el paso",8041
"co","fremont",8043
"co","garfield",8045
"co","gilpin",8047
"co","grand",8049
"co","gunnison",8051
"co","hinsdale",8053
"co","huerfano",8055
"co","jackson",8057
"co","jefferson",8059
"co","kiowa",8061
"co","kit carson",8063
"co","lake",8065
"co","la plata",8067
"co","larimer",8069
"co","las animas",8071
"co","lincoln",8073
"co","logan",8075
"co","mesa",8077
"co","mineral",8079
"co","moffat",8081
"co","montezuma",8083
"co","montrose",8085
"co","morgan",8087
"co","otero",8089
"co","ouray",8091
"co","park",8093
"co","phillips",8095
"co","pitkin",8097
"co","prowers",8099
"co","pueblo",8101
"co","rio blanco",8103
"co","rio grande",8105
"co","routt",8107
"co","saguache",8109
"co","san juan",8111
"co","san miguel",8113
"co","sedgwick",8115
"co","summit",8117
"co","teller",8119
"co","washington",8121
"co","weld",8123
"co","yuma",8125
"ct","fairfield",9001
"ct","hartford",9003
"ct","litchfield",9005
"ct","middlesex",9007
"ct","new haven",9009
"ct","new london",9011
"ct","tolland",9013
"ct","windham",9015
"de","kent",10001
"de","new castle",10003
"de","sussex",10005
"dc","washington",11001
"fl","alachua",12001
"fl","baker",12003
"fl","bay",12005
"fl","bradford",12007
"fl","brevard",12009
"fl","broward",12011
"fl","calhoun",12013
"fl","charlotte",12015
"fl","citrus",12017
"fl","clay",12019
"fl","collier",12021
"fl","columbia",12023
"fl","desoto",12027
"fl","dixie",12029
"fl","duval",12031
"fl","escambia",12033
"fl","flagler",12035
"fl","franklin",12037
"fl","gadsden",12039
"fl","gilchrist",12041
"fl","glades",12043
"fl","gulf",12045
"fl","hamilton",12047
"fl","hardee",12049
"fl","hendry",12051
"fl","hernando",12053
"fl","highlands",12055
"fl","hillsborough",12057
"fl","holmes",12059
"fl","indian river",12061
"fl","jackson",12063
"fl","jefferson",12065
"fl","lafayette",12067
"fl","lake",12069
"fl","lee",12071
"fl","leon",12073
"fl","levy",12075
"fl","liberty",12077
"fl","madison",12079
"fl","manatee",12081
"fl","marion",12083
"fl","martin",12085
"fl","miami-dade",12086
"fl","monroe",12087
"fl","nassau",12089
"fl","okaloosa",12091
"fl","okeechobee",12093
"fl","orange",12095
"fl","osceola",12097
"fl","palm beach",12099
"fl","pasco",12101
"fl","pinellas",12103
"fl","polk",12105
"fl","putnam",12107
"fl","st. johns",12109
"fl","st. lucie",12111
"fl","santa rosa",12113
"fl","sarasota",12115
"fl","seminole",12117
"fl","sumter",12119
"fl","suwannee",12121
"fl","taylor",12123
"fl","union",12125
"fl","volusia",12127
"fl","wakulla",12129
"fl","walton",12131
"fl","washington",12133
"ga","appling",13001
"ga","atkinson",13003
"ga","bacon",13005
"ga","baker",13007
"ga","baldwin",13009
"ga","banks",13011
"ga","barrow",13013
"ga","bartow",13015
